DATA_YEAR,STATE_ABBR,POPULATION_GROUP_DESC,TIME_0001_0600_CNT,TIME_0601_1200_CNT,TIME_1201_1800_CNT,TIME_1801_0000_CNT,FIREARM_INJURY_CNT,FIREARM_NO_INJURY_CNT,KNIFE_INJURY_CNT,KNIFE_NO_INJURY_CNT,HANDS_FISTS_FEET_INJURY_CNT,HANDS_FISTS_FEET_NO_INJURY_CNT,OTHER_INJURY_CNT,OTHER_NO_INJURY_CNT,LEOKA_FELONY_KILLED,LEOKA_ACCIDENT_KILLED,TOTAL_ASSAULTED
2018,OH,"Cities from 100,000 thru 249,999",0,1,6,6,0,6,0,1,1,3,0,2,0,0,13
2018,AL,"Cities from 25,000 thru 49,999",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2018,FL,"Cities from 10,000 thru 24,999",1,0,1,4,0,0,0,0,2,3,0,1,0,0,6
2018,FL,"MSA counties 100,000 or over",10,20,15,30,0,2,0,1,8,59,0,5,0,0,75
2018,CA,"MSA counties 100,000 or over",3,5,5,8,0,0,0,0,5,11,1,4,0,0,21
2018,TX,"Cities under 2,500",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2018,NM,"Cities from 25,000 thru 49,999",2,7,12,13,0,1,0,2,9,21,0,1,0,0,34
2018,CO,"Cities from 2,500 thru 9,999",0,1,1,0,0,0,0,0,1,0,1,0,0,0,2
2018,AK,"Non-MSA counties 100,000 or over",20,29,40,54,0,14,0,11,15,91,2,10,0,0,143
2018,NY,"Cities from 50,000 thru 99,999",10,5,9,4,0,0,3,0,15,8,2,0,0,0,28
2018,OR,"Cities from 50,000 thru 99,999",1,1,4,2,0,0,0,0,4,4,0,0,0,0,8
2018,WY,"Non-MSA counties under 10,000",0,0,0,3,0,0,0,0,0,2,0,1,0,0,3
2018,VA,"MSA counties 100,000 or over",4,2,0,10,0,0,0,0,7,7,0,2,0,0,16
2018,MN,"Cities from 10,000 thru 24,999",0,1,1,5,0,0,0,0,3,1,2,1,0,0,7
2018,MI,"Cities from 2,500 thru 9,999",0,0,2,1,0,0,0,0,0,3,0,0,0,0,3
2018,NM,"Cities from 500,000 thru 999,999",69,73,159,196,4,39,1,33,43,298,6,73,0,0,497
2018,TN,"Cities from 10,000 thru 24,999",1,0,0,3,0,0,0,0,0,2,0,2,0,0,4
2018,KY,"Cities from 2,500 thru 9,999",0,1,0,1,0,0,0,0,0,1,0,1,0,0,2
2018,LA,"Cities from 25,000 thru 49,999",6,5,8,11,0,0,0,0,5,23,1,1,0,0,30
2018,VA,"Cities from 100,000 thru 249,999",24,3,15,14,0,0,0,0,7,39,3,7,0,0,56
2018,OK,"Non-MSA counties under 10,000",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,PA,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,CA,"Cities from 50,000 thru 99,999",1,2,0,1,0,0,0,0,1,2,0,1,0,0,4
2018,VA,"Non-MSA counties from 10,000 thru 24,999",1,0,1,3,0,0,0,0,4,0,0,1,0,0,5
2018,PA,"MSA counties under 10,000",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,IN,"MSA counties from 25,000 thru 99,999",0,4,3,1,0,0,0,0,8,0,0,0,0,0,8
2018,TX,"Cities from 100,000 thru 249,999",1,0,1,1,0,0,0,0,0,3,0,0,0,0,3
2018,NH,"Cities from 2,500 thru 9,999",0,1,0,1,0,0,0,0,0,1,0,1,0,0,2
2018,PA,"Cities from 100,000 thru 249,999",13,16,19,20,0,0,0,0,15,53,0,0,0,0,68
2018,OH,"Cities from 10,000 thru 24,999",0,2,2,1,0,0,0,0,0,5,0,0,0,0,5
2018,MI,"Cities from 2,500 thru 9,999",2,0,0,1,0,0,0,0,0,1,0,2,0,0,3
2018,MI,"Cities from 2,500 thru 9,999",0,0,1,1,0,1,0,1,0,0,0,0,0,0,2
2018,MI,"Non-MSA counties from 10,000 thru 24,999",0,0,0,2,0,0,0,0,0,2,0,0,0,0,2
2018,NJ,"Cities under 2,500",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,GA,"Cities from 50,000 thru 99,999",0,0,1,1,0,0,0,0,1,1,0,0,0,0,2
2018,FL,"Cities from 25,000 thru 49,999",3,7,4,5,0,0,0,1,5,12,0,1,0,0,19
2018,NH,"Cities from 2,500 thru 9,999",0,3,0,0,0,0,0,0,0,3,0,0,0,0,3
2018,OK,"Cities from 10,000 thru 24,999",1,1,1,3,0,0,0,0,1,3,1,1,0,0,6
2018,TX,"Cities from 2,500 thru 9,999",2,0,1,2,0,0,0,0,0,5,0,0,0,0,5
2018,TX,"Cities from 25,000 thru 49,999",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2018,TX,"Cities from 100,000 thru 249,999",0,0,3,3,0,0,0,0,1,4,1,0,0,0,6
2018,CA,"Cities from 10,000 thru 24,999",1,1,1,4,0,0,0,0,7,0,0,0,0,0,7
2018,MA,"Cities from 25,000 thru 49,999",3,0,6,10,0,0,0,1,4,12,0,2,0,0,19
2018,NH,"Cities from 10,000 thru 24,999",0,0,2,1,0,0,0,1,0,2,0,0,0,0,3
2018,VA,"MSA counties from 25,000 thru 99,999",5,2,4,6,0,0,0,0,7,9,0,1,0,0,17
2018,NY,"Cities from 100,000 thru 249,999",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2018,WA,"Cities from 10,000 thru 24,999",0,0,0,2,0,0,1,0,1,0,0,0,0,0,2
2018,OK,"Cities from 2,500 thru 9,999",2,0,0,3,0,0,0,0,1,3,0,1,0,0,5
2018,AK,"Cities from 250,000 thru 499,999",171,44,122,116,0,13,0,5,57,287,8,83,0,0,453
2018,CA,"Cities from 10,000 thru 24,999",2,0,2,1,1,0,0,0,1,0,3,0,0,0,5
2018,IN,"Cities from 50,000 thru 99,999",1,3,7,2,0,0,0,0,5,7,1,0,0,0,13
2018,KY,"Non-MSA counties from 10,000 thru 24,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,SC,"Cities from 25,000 thru 49,999",2,2,2,1,0,0,0,0,0,4,0,3,0,0,7
2018,SC,"MSA counties 100,000 or over",0,3,10,2,0,1,0,3,4,3,0,4,0,0,15
2018,TN,"MSA counties from 25,000 thru 99,999",1,1,3,1,0,0,0,0,1,4,0,1,0,0,6
2018,MA,"Cities from 25,000 thru 49,999",1,1,0,2,0,0,0,0,3,0,1,0,0,0,4
2018,TX,"Cities from 10,000 thru 24,999",0,0,1,1,0,0,0,0,1,1,0,0,0,0,2
2018,TX,"Cities under 2,500",0,0,1,1,0,0,0,0,0,1,0,1,0,0,2
2018,MI,"Cities from 100,000 thru 249,999",1,2,3,8,0,0,0,1,3,7,1,2,0,0,14
2018,MD,"MSA counties 100,000 or over",47,29,49,64,0,4,0,1,35,124,8,17,0,0,189
2018,CT,"Cities from 10,000 thru 24,999",0,0,0,2,0,0,0,0,2,0,0,0,0,0,2
2018,TX,"Cities from 2,500 thru 9,999",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,CA,"Cities from 100,000 thru 249,999",1,5,10,5,0,1,0,0,6,9,1,4,0,0,21
2018,NH,"Cities from 2,500 thru 9,999",0,2,0,0,0,0,0,0,1,1,0,0,0,0,2
2018,AZ,"Cities from 25,000 thru 49,999",2,0,1,1,0,0,0,0,4,0,0,0,0,0,4
2018,NC,"Cities from 50,000 thru 99,999",0,2,1,0,0,0,0,0,0,3,0,0,0,0,3
2018,FL,"Cities from 50,000 thru 99,999",2,0,2,1,0,0,0,0,2,1,2,0,0,0,5
2018,NC,"Cities under 2,500",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,CA,"Cities from 50,000 thru 99,999",5,10,11,5,0,3,0,0,5,19,0,4,0,0,31
2018,WI,"Cities from 50,000 thru 99,999",11,8,2,10,0,5,1,0,15,7,2,1,0,0,31
2018,TX,"Cities from 2,500 thru 9,999",0,1,1,0,0,0,0,0,1,1,0,0,1,0,2
2018,FL,"Cities from 2,500 thru 9,999",0,5,4,3,0,0,0,0,1,9,0,2,0,0,12
2018,CA,"Cities from 10,000 thru 24,999",0,2,1,0,0,0,1,0,2,0,0,0,0,0,3
2018,CO,"Non-MSA counties from 10,000 thru 24,999",0,0,1,1,0,0,0,0,0,1,0,1,0,0,2
2018,AL,"Cities under 2,500",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2018,OK,"Cities from 10,000 thru 24,999",1,1,8,7,0,0,0,1,3,11,0,2,0,0,17
2018,MI,"Non-MSA counties from 10,000 thru 24,999",1,0,0,1,0,0,0,0,1,1,0,0,0,0,2
2018,OK,"Cities under 2,500",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,TX,"Cities from 250,000 thru 499,999",17,11,12,30,1,3,0,3,33,14,1,15,0,0,70
2018,WA,"Cities from 10,000 thru 24,999",1,0,1,6,0,0,0,0,2,6,0,0,0,0,8
2018,VA,"MSA counties 100,000 or over",13,3,11,16,0,0,0,0,10,29,0,4,0,0,43
2018,TX,"MSA counties under 10,000",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2018,ME,"Non-MSA counties from 25,000 thru 99,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,CA,"Cities from 10,000 thru 24,999",1,0,2,3,0,0,0,0,2,4,0,0,0,0,6
2018,CA,"Cities from 10,000 thru 24,999",2,0,3,1,0,0,0,2,2,1,0,1,0,0,6
2018,NM,"Cities from 10,000 thru 24,999",3,2,4,2,0,0,0,0,1,10,0,0,0,0,11
2018,CO,"Cities from 100,000 thru 249,999",3,2,12,14,0,7,0,5,7,2,2,8,0,0,31
2018,NJ,"Cities from 10,000 thru 24,999",3,2,3,5,0,1,0,0,2,10,0,0,0,0,13
2018,MA,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,AR,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2018,AL,"Cities under 2,500",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2018,KY,"Cities from 10,000 thru 24,999",2,0,1,8,0,1,0,0,3,7,0,0,0,0,11
2018,MA,"Cities from 10,000 thru 24,999",1,0,4,3,0,0,0,0,2,5,0,1,0,0,8
2018,NH,"Cities under 2,500",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,OR,"Cities from 10,000 thru 24,999",0,4,2,1,0,0,0,0,4,3,0,0,0,0,7
2018,PA,"Cities from 2,500 thru 9,999",2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
2018,WI,"Cities from 2,500 thru 9,999",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,TN,"Cities from 2,500 thru 9,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,PA,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,OH,"Non-MSA counties from 25,000 thru 99,999",0,0,1,2,0,0,0,0,1,1,0,1,0,0,3
2018,WI,"Cities from 10,000 thru 24,999",0,1,1,2,0,0,0,0,1,3,0,0,0,0,4
2018,CO,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2018,MA,"Cities under 2,500",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,OR,"Cities from 2,500 thru 9,999",1,0,1,0,0,0,0,0,1,1,0,0,0,0,2
2018,CA,"Cities from 25,000 thru 49,999",0,4,4,7,0,0,0,0,5,9,0,1,0,0,15
2018,CA,"MSA counties under 10,000",0,7,7,8,0,0,0,0,2,19,0,1,0,0,22
2018,TX,"MSA counties from 25,000 thru 99,999",0,2,0,0,0,0,0,0,1,0,1,0,0,0,2
2018,OH,"Cities from 25,000 thru 49,999",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,TN,"Cities from 10,000 thru 24,999",1,0,5,0,0,0,0,0,0,5,1,0,0,0,6
2018,GA,"Cities from 100,000 thru 249,999",3,3,3,4,0,0,0,1,5,5,0,2,0,0,13
2018,MA,"Cities from 10,000 thru 24,999",3,0,2,10,0,0,0,0,1,11,0,3,0,0,15
2018,NH,"Cities from 2,500 thru 9,999",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2018,GA,"Cities from 250,000 thru 499,999",13,7,9,23,0,7,0,1,3,28,2,11,0,0,52
2018,GA,"Cities under 2,500",0,1,1,0,0,0,0,0,0,2,0,0,0,0,2
2018,NJ,"Cities from 25,000 thru 49,999",2,0,2,2,0,0,1,0,0,5,0,0,0,0,6
2018,OK,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,MA,"Cities from 25,000 thru 49,999",0,12,0,8,1,1,0,0,1,13,0,4,0,0,20
2018,TX,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,AL,"Cities from 50,000 thru 99,999",0,3,1,0,0,0,0,0,0,3,1,0,0,0,4
2018,MA,"Cities from 10,000 thru 24,999",0,0,1,2,0,0,0,0,0,3,0,0,0,0,3
2018,ME,"Cities from 10,000 thru 24,999",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,NH,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,WA,"Cities from 50,000 thru 99,999",9,2,5,10,0,1,0,0,7,12,2,4,0,0,26
2018,MI,"Cities from 10,000 thru 24,999",1,0,0,4,0,0,0,0,0,3,1,1,0,0,5
2018,FL,"Cities from 10,000 thru 24,999",2,0,1,0,0,0,0,0,0,3,0,0,0,0,3
2018,MO,"Non-MSA counties under 10,000",1,1,1,0,0,0,0,0,1,2,0,0,0,0,3
2018,KY,"Cities under 2,500",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2018,ME,"Cities from 10,000 thru 24,999",1,0,3,1,0,0,0,0,2,3,0,0,0,0,5
2018,VA,"MSA counties from 25,000 thru 99,999",1,5,3,2,0,0,1,1,1,2,1,5,0,0,11
2018,CO,"Cities under 2,500",2,1,0,1,0,0,0,0,2,2,0,0,0,0,4
2018,CO,"Cities from 250,000 thru 499,999",19,12,19,36,1,10,1,5,21,24,5,19,0,0,86
2018,MO,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,AL,"MSA counties from 10,000 thru 24,999",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2018,CA,"Cities from 10,000 thru 24,999",0,0,0,2,0,0,0,0,1,1,0,0,0,0,2
2018,FL,"Cities from 25,000 thru 49,999",0,0,3,4,2,0,0,0,0,3,0,2,0,0,7
2018,NC,"Non-MSA counties from 10,000 thru 24,999",0,0,2,0,0,1,0,0,0,1,0,0,0,0,2
2018,CO,"Cities from 2,500 thru 9,999",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,NC,"Cities from 2,500 thru 9,999",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2018,MA,"Cities from 2,500 thru 9,999",0,0,0,5,0,0,0,0,1,4,0,0,0,0,5
2018,OH,"Cities from 10,000 thru 24,999",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2018,FL,"MSA counties from 25,000 thru 99,999",3,0,8,9,0,2,0,0,2,8,0,8,0,0,20
2018,OR,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,CA,"Cities from 250,000 thru 499,999",19,17,22,30,0,0,0,2,17,61,0,8,0,0,88
2018,FL,"Cities from 2,500 thru 9,999",0,0,0,2,0,0,0,0,0,2,0,0,0,0,2
2018,TX,"Cities from 25,000 thru 49,999",0,2,0,1,0,0,0,0,2,1,0,0,0,0,3
2018,CA,"Cities from 50,000 thru 99,999",1,3,2,7,0,0,0,1,5,3,0,4,0,0,13
2018,KY,"Non-MSA counties under 10,000",0,1,1,0,0,0,0,0,1,0,1,0,0,0,2
2018,MO,"Cities from 25,000 thru 49,999",1,0,1,0,0,0,0,0,0,2,0,0,0,0,2
2018,MD,"Cities from 500,000 thru 999,999",33,30,46,47,0,5,0,5,40,85,9,12,0,0,156
2018,MD,"MSA counties 100,000 or over",163,90,175,199,0,9,1,7,128,405,26,51,1,0,627
2018,SC,"Non-MSA counties under 10,000",0,0,3,0,0,0,0,0,1,0,1,1,0,0,3
2018,ME,"Cities from 25,000 thru 49,999",0,1,1,5,0,0,0,0,1,6,0,0,0,0,7
2018,MI,"Cities under 2,500",0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
2018,GA,"Non-MSA counties from 10,000 thru 24,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,ME,"Cities from 2,500 thru 9,999",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2018,WI,"Cities from 10,000 thru 24,999",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2018,AL,"Non-MSA counties under 10,000",0,0,1,1,0,0,0,0,1,0,0,1,0,0,2
2018,WV,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,KY,"Cities from 2,500 thru 9,999",2,2,3,6,0,0,0,0,4,6,0,3,0,0,13
2018,KY,"Cities from 10,000 thru 24,999",7,0,1,0,0,0,0,0,1,5,0,2,0,0,8
2018,MA,"Cities from 25,000 thru 49,999",3,0,3,8,0,0,0,0,2,9,0,3,0,0,14
2018,NH,"Cities from 2,500 thru 9,999",0,0,1,1,0,0,0,0,2,0,0,0,0,0,2
2018,SC,"Cities from 2,500 thru 9,999",1,0,1,2,0,0,0,0,1,2,0,1,0,0,4
2018,MA,"Cities from 2,500 thru 9,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,VT,"Cities from 2,500 thru 9,999",0,0,3,2,0,0,0,0,1,4,0,0,0,0,5
2018,VT,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,NH,"Cities from 2,500 thru 9,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,CA,"Cities from 10,000 thru 24,999",6,11,19,20,0,1,0,0,0,52,0,3,0,0,56
2018,TN,"Cities from 50,000 thru 99,999",9,4,3,11,2,0,0,3,2,10,3,7,0,0,27
2018,FL,"Cities from 10,000 thru 24,999",0,0,1,5,0,0,0,0,3,3,0,0,0,0,6
2018,LA,"Cities from 10,000 thru 24,999",1,2,4,3,0,0,0,0,1,7,0,2,0,0,10
2018,TX,"MSA counties from 25,000 thru 99,999",0,1,0,2,0,0,0,0,0,2,0,1,0,0,3
2018,SC,"Cities from 2,500 thru 9,999",0,3,0,1,0,0,0,0,2,2,0,0,0,0,4
2018,MS,"Cities from 2,500 thru 9,999",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,ME,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,VA,"Non-MSA counties under 10,000",1,0,0,1,0,0,0,0,1,1,0,0,0,0,2
2018,LA,"Cities from 100,000 thru 249,999",10,7,13,21,1,0,0,0,1,46,0,3,0,0,51
2018,WA,"Cities from 10,000 thru 24,999",0,2,1,0,0,0,0,0,2,1,0,0,0,0,3
2018,TN,"Cities under 2,500",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,FL,"MSA counties from 25,000 thru 99,999",6,5,10,7,0,0,0,0,8,16,0,4,0,0,28
2018,MI,"Cities from 25,000 thru 49,999",0,1,1,2,0,0,0,2,1,1,0,0,0,0,4
2018,TX,"Cities from 10,000 thru 24,999",1,0,1,2,0,0,0,0,4,0,0,0,0,0,4
2018,FL,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,AL,"Cities from 2,500 thru 9,999",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2018,NM,"Cities under 2,500",0,2,0,0,0,0,0,0,1,1,0,0,0,0,2
2018,CO,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2018,TX,"Cities under 2,500",1,0,1,0,0,0,0,0,0,2,0,0,0,0,2
2018,NJ,"Cities from 50,000 thru 99,999",3,1,0,5,0,0,0,0,0,9,0,0,0,0,9
2018,TX,"Cities from 50,000 thru 99,999",4,6,6,9,0,1,0,1,8,14,1,0,0,0,25
2018,TN,"Cities from 2,500 thru 9,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,CA,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,KY,"Cities under 2,500",0,2,0,1,0,0,0,0,0,2,0,1,0,0,3
2018,NC,"Non-MSA counties from 25,000 thru 99,999",1,2,1,1,0,0,0,0,0,5,0,0,0,0,5
2018,SC,"Cities from 10,000 thru 24,999",0,1,1,2,0,0,0,0,1,2,0,1,0,0,4
2018,SC,"MSA counties 100,000 or over",2,5,7,5,0,0,0,0,13,5,0,1,0,0,19
2018,TX,"Cities from 100,000 thru 249,999",12,3,9,14,0,0,0,0,24,14,0,0,0,0,38
2018,WI,"Cities from 10,000 thru 24,999",2,0,0,1,0,0,0,0,2,1,0,0,0,0,3
2018,MI,"Cities under 2,500",0,0,2,0,0,0,0,2,0,0,0,0,0,0,2
2018,OR,"Cities from 50,000 thru 99,999",0,0,1,1,0,0,0,0,0,1,0,1,0,0,2
2018,MN,"Non-MSA counties from 10,000 thru 24,999",0,2,0,0,0,0,0,0,0,0,0,2,0,0,2
2018,OK,"Non-MSA counties under 10,000",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2018,NH,"Cities from 10,000 thru 24,999",0,0,0,2,0,0,0,0,0,2,0,0,0,0,2
2018,TX,"Cities from 25,000 thru 49,999",7,0,1,6,0,1,0,0,1,9,0,3,0,0,14
2018,TX,"Non-MSA counties from 10,000 thru 24,999",0,1,2,1,0,0,0,1,1,1,0,1,0,0,4
2018,MD,"Cities from 10,000 thru 24,999",0,0,0,2,0,0,0,0,1,1,0,0,0,0,2
2018,NM,"Cities from 2,500 thru 9,999",7,2,5,19,0,0,0,5,2,25,1,0,0,0,33
2018,ND,"Cities under 2,500",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,MT,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2018,KY,"Non-MSA counties from 10,000 thru 24,999",0,0,3,0,0,0,0,0,0,1,0,2,0,0,3
2018,CA,"Cities from 25,000 thru 49,999",0,0,2,3,0,0,0,1,4,0,0,0,0,0,5
2018,FL,"Cities from 10,000 thru 24,999",6,1,2,6,0,1,0,0,6,5,0,3,0,0,15
2018,MO,"Cities from 10,000 thru 24,999",1,0,3,2,0,0,0,0,1,5,0,0,0,0,6
2018,FL,"Cities from 2,500 thru 9,999",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2018,MI,"Cities from 2,500 thru 9,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2018,KY,"Cities from 2,500 thru 9,999",3,0,0,0,0,0,0,0,1,0,2,0,0,0,3
2018,PA,"Cities from 2,500 thru 9,999",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2018,WA,"Cities from 100,000 thru 249,999",3,2,2,5,0,0,0,0,6,6,0,0,0,0,12
2018,CA,"Cities from 50,000 thru 99,999",2,2,10,6,0,0,0,2,2,15,0,1,0,0,20
2018,MA,"Cities from 10,000 thru 24,999",2,1,1,0,0,0,0,0,1,3,0,0,0,0,4
2018,WA,"Cities from 50,000 thru 99,999",7,5,6,14,0,0,0,5,13,5,5,4,0,0,32
2018,TX,"Cities from 10,000 thru 24,999",0,0,4,0,0,0,0,3,1,0,0,0,0,0,4
2018,NJ,"Cities from 2,500 thru 9,999",1,1,0,3,0,0,0,0,0,5,0,0,0,0,5
2018,NC,"Cities from 10,000 thru 24,999",1,0,0,2,0,0,0,0,0,3,0,0,0,0,3
2018,NH,"Cities from 2,500 thru 9,999",0,2,0,0,0,0,0,0,0,2,0,0,0,0,2
